Date : 2024-09-21 10:15:44
Directory : c:\Users\chait\Desktop\Anki-auto
Total : 107 files,  12391 codes, 577 comments, 1631 blanks, all 14599 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| CSV              |          4 |      5,711 |          0 |          4 |      5,715 |
| Python           |         60 |      4,003 |        346 |        857 |      5,206 |
| Markdown         |         18 |      1,430 |          0 |        543 |      1,973 |
| YAML             |         19 |      1,136 |        228 |        218 |      1,582 |
| JSON             |          2 |         50 |          0 |          1 |         51 |
| pip requirements |          2 |         34 |          0 |          2 |         36 |
| Properties       |          1 |         26 |          2 |          6 |         34 |
| Shell Script     |          1 |          1 |          1 |          0 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        107 |     12,391 |        577 |      1,631 |     14,599 |
| . (Files)                                                                                                               |          2 |          5 |          3 |          7 |         15 |
| configs                                                                                                                 |          1 |          0 |          0 |          1 |          1 |
| processing_anki                                                                                                         |          4 |        231 |         26 |         42 |        299 |
| processing_ocr                                                                                                          |        100 |     12,155 |        548 |      1,581 |     14,284 |
| processing_ocr (Files)                                                                                                  |          3 |        370 |         31 |         64 |        465 |
| processing_ocr\Real-ESRGAN                                                                                              |         57 |      4,397 |        487 |      1,072 |      5,956 |
| processing_ocr\Real-ESRGAN (Files)                                                                                      |         12 |      1,257 |         34 |        330 |      1,621 |
| processing_ocr\Real-ESRGAN\.github                                                                                      |          3 |         89 |          1 |         18 |        108 |
| processing_ocr\Real-ESRGAN\.github\workflows                                                                            |          3 |         89 |          1 |         18 |        108 |
| processing_ocr\Real-ESRGAN\docs                                                                                         |         11 |        739 |          0 |        277 |      1,016 |
| processing_ocr\Real-ESRGAN\options                                                                                      |          6 |        672 |        197 |        135 |      1,004 |
| processing_ocr\Real-ESRGAN\realesrgan                                                                                   |         12 |        929 |        161 |        164 |      1,254 |
| processing_ocr\Real-ESRGAN\realesrgan (Files)                                                                           |          3 |        257 |         26 |         50 |        333 |
| processing_ocr\Real-ESRGAN\realesrgan\archs                                                                             |          3 |        106 |         17 |         26 |        149 |
